,QL with Constant Epsilon Overall_Accuracy,QL with Constant Epsilon Overall_Steps,QL with Constant Epsilon Overall_Reward
815,0.93,5.3,0.86
816,0.93,5.3,0.86
817,0.93,5.31,0.86
818,0.93,5.33,0.86
819,0.94,5.38,0.88
820,0.94,5.36,0.88
821,0.93,5.34,0.86
822,0.93,5.34,0.86
823,0.93,5.34,0.86
824,0.93,5.31,0.86
825,0.93,5.32,0.86
826,0.93,5.33,0.86
827,0.93,5.38,0.86
828,0.93,5.38,0.86
829,0.93,5.36,0.86
830,0.93,5.38,0.86
831,0.93,5.38,0.86
832,0.93,5.4,0.86
833,0.94,5.44,0.88
834,0.94,5.42,0.88
835,0.93,5.38,0.86
836,0.93,5.36,0.86
837,0.93,5.35,0.86
838,0.93,5.34,0.86
839,0.93,5.34,0.86
840,0.93,5.34,0.86
841,0.93,5.34,0.86
842,0.93,5.34,0.86
843,0.93,5.33,0.86
844,0.93,5.35,0.86
845,0.93,5.35,0.86
846,0.93,5.36,0.86
847,0.93,5.38,0.86
848,0.93,5.35,0.86
849,0.93,5.35,0.86
850,0.94,5.36,0.88
851,0.94,5.36,0.88
852,0.94,5.36,0.88
853,0.94,5.36,0.88
854,0.93,5.35,0.86
855,0.93,5.35,0.86
856,0.93,5.35,0.86
857,0.93,5.35,0.86
858,0.93,5.35,0.86
859,0.93,5.35,0.86
860,0.93,5.35,0.86
861,0.94,5.39,0.88
862,0.94,5.41,0.88
863,0.93,5.36,0.86
864,0.93,5.33,0.86
865,0.93,5.35,0.86
866,0.93,5.35,0.86
867,0.93,5.35,0.86
868,0.93,5.34,0.86
869,0.93,5.33,0.86
870,0.93,5.33,0.86
871,0.93,5.33,0.86
872,0.93,5.34,0.86
873,0.92,5.33,0.84
874,0.92,5.33,0.84
875,0.92,5.33,0.84
876,0.92,5.33,0.84
877,0.92,5.33,0.84
878,0.92,5.35,0.84
879,0.92,5.35,0.84
880,0.91,5.3,0.82
881,0.91,5.28,0.82
882,0.9,5.25,0.8
883,0.9,5.25,0.8
884,0.9,5.24,0.8
885,0.9,5.24,0.8
886,0.9,5.27,0.8
887,0.9,5.3,0.8
888,0.9,5.3,0.8
889,0.9,5.28,0.8
890,0.9,5.28,0.8
891,0.9,5.29,0.8
892,0.9,5.29,0.8
893,0.9,5.29,0.8
894,0.9,5.29,0.8
895,0.9,5.29,0.8
896,0.89,5.26,0.78
897,0.89,5.24,0.78
898,0.89,5.26,0.78
899,0.89,5.26,0.78
900,0.89,5.28,0.78
901,0.88,5.25,0.76
902,0.88,5.25,0.76
903,0.89,5.29,0.78
904,0.9,5.3,0.8
905,0.9,5.3,0.8
906,0.9,5.29,0.8
907,0.9,5.29,0.8
908,0.9,5.28,0.8
909,0.9,5.28,0.8
910,0.9,5.28,0.8
911,0.9,5.29,0.8
912,0.9,5.29,0.8
913,0.91,5.31,0.82
914,0.91,5.26,0.82
915,0.91,5.26,0.82
916,0.91,5.28,0.82
917,0.91,5.27,0.82
918,0.91,5.24,0.82
919,0.91,5.23,0.82
920,0.9,5.21,0.8
